year,preco_etanol_nom_usd_hl,preco_etanol_real_usd_hl,eth_usa_usd_hl,prod_brasil_tbpd,prod_eua_tbpd,prod_mundo_tbpd,share_brasil,sugar_world_usd_kg,brent_usd_bbl,cpi,lp_nom,lp_real,lq,lp_acucar,lp_oil
2005,48.84,73.18622734254993,48.52,276.0,254.6876712328767,584.9276712328767,0.47185321121543655,0.2179266869999999,54.434130411255005,195.3,3.888549649242504,4.293007252206574,5.62040086571715,-1.5235965709190953,3.996991354396231
2006,67.79,98.4081470734127,68.24,271.62574755,318.40226999,682.31694334,0.39809321782391727,0.3258723906883333,65.39138122067332,201.6,4.216414691442874,4.589123596092364,5.604425190712705,-1.1212494138542504,4.18039046416205
2007,58.0,81.86469697408145,58.01,337.30637908,425.09580586,866.36773741,0.38933395660412623,0.2221522086666666,72.6961705259525,207.342,4.060443010546419,4.405067847552588,5.82099165407377,-1.5043925074184183,4.28628870813081
2008,63.37,86.13696673989679,64.02,406.10399915,606.82170976,1158.01763122,0.35068896034178637,0.2821362445,97.63648418188085,215.303,4.148990563335426,4.455938665863371,6.006609282341375,-1.2653651881920738,4.581251236907191
2009,48.8,66.56923514358827,48.65,382.32189319,713.01694637,1250.9061978,0.3056359412579449,0.400028299,61.862206890332494,214.537,3.8877303128591016,4.198242536040648,5.946262906104264,-0.9162199868766415,4.124909442183652
2010,52.34,70.24600423744359,56.4,422.18826277,866.86820918,1459.24298006,0.2893200574126735,0.4693468963333333,79.63562997992334,218.056,3.9577608971019997,4.252003427413875,6.0454513348619905,-0.7564131329123108,4.377461605514713
2011,73.27,95.32731918431217,73.32,348.06946107,908.01622813,1446.01939335,0.24070870879789918,0.5731644563333333,110.93992536388834,224.939,4.294151248171873,4.5573164346825275,5.852402060632752,-0.5565825941389527,4.708988841865805
2012,65.49,83.47768648135403,65.52,357.1448918,861.65797031,1421.78931903,0.2511939617352437,0.4749454142066667,111.96555833960834,229.594,4.181897459229962,4.424579368376892,5.87814155882475,-0.744555399010662,4.718191309177789
2013,67.74,85.09918010619985,67.74,419.79463944,866.5287086,1513.10809922,0.2774386308925332,0.3900447069325,108.85637454514166,232.957,4.215676847389625,4.44381740105818,6.039765637986281,-0.9414939132680672,4.690029348622162
2014,62.86,77.70805158488781,62.88,440.59752431,933.02701748,1610.80066822,0.2735270309993589,0.3749874901666667,98.9375,236.736,4.140910031369422,4.352958876006136,6.0881318154464195,-0.980862613123724,4.594488337641231
2015,44.97,55.52637722188703,44.98,469.23593287,965.25767016,1673.14395459,0.28045162018649206,0.2962641843333333,52.370000000000005,237.017,3.805995600782616,4.016858173108853,6.151105697116367,-1.2165037080727996,3.9583339082913964
2016,44.81,54.63953363860221,44.94,439.925908,1004.76020642,1686.13895273,0.2609072682223035,0.3980625128333333,44.04749999999999,240.007,3.802431328798052,4.000757680061436,6.086606321823875,-0.9211462186110596,3.785268597082647
2017,43.66,52.12678402415142,43.65,469.5452055,1038.85811233,1771.517063723,0.2650526010250272,0.3531250085,54.392500000000005,245.12,3.7764323511217976,3.953678905416274,6.151764578358326,-1.0409331530106354,3.9962262767102206
2018,39.41,45.93075282648432,39.53,565.8520548,1048.94469569,1898.818885083,0.2980021208158912,0.2756142436666667,71.07166666666667,251.107,3.6740195912069122,3.8271348889389367,6.338332656756422,-1.288753058788185,4.263688757621475
2019,40.03,45.82303496481614,41.09,599.8027397,1028.54076245,1949.79646364,0.3076232575477398,0.2800234836666667,64.03166666666667,255.657,3.6896291730044823,3.824786911514821,6.396600833993706,-1.272881809091704,4.159377752657305
2020,37.91,42.86738604618814,37.91,548.6465753,907.81205843,1775.11819077,0.3090760818928972,0.2831283235,42.3,258.811,3.635214929528243,3.758111304787477,6.3074544733686615,-1.2618550441823893,3.744787086052232
2021,64.91,70.1045726464184,64.87,560.8767123,956.9640254,1844.18863177,0.3041319649398806,0.389556354,70.44333333333333,270.97,4.173001695045377,4.24998802224721,6.329501117199889,-0.9427467412100701,4.254808604105951
2022,70.75,70.75,71.08,548.5795068,1002.0,1917.49624364,0.2860915679076516,0.4078363281666666,99.82416666666668,292.655,4.259152536523347,4.259152536523347,6.307332222355534,-0.8968893415169996,4.603410304972209
